KIND,TITLE,AUTHOR,DATECREATED,DATEMODIFIED,ANNOTATION,TEXT
highlight,Best Care Anywhere,Phillip Longman,2017-12-02T15:40:20.000,2017-12-02T15:40:20Z,,"For example, Dartmouth researcher Elliott S. Fisher has found that among Medicare patients who share the same age, socioeconomic standing, and health status, their chance of dying in the next five years is greater if they go to a high-spending hospital in their community than to a low-spending hospital."
highlight,Best Care Anywhere,Phillip Longman,2017-11-19T23:42:22.000,2017-11-19T23:42:22Z,,"In Costa Rica, for example, total health-care expenditures per person come to just $1,165 a year. And Costa Rica has little more than half the doctors per capita that the United States does. Yet compared with the United States, life expectancy at birth is one year longer for men and exactly the same for women. "
highlight,Best Care Anywhere,Phillip Longman,2017-11-25T03:06:40.000,2017-11-25T03:06:40Z,,"A final and all-important consideration was that the VA as an institution maintained a near lifetime relationship with its patients. This meant there was a pressing institutional need to coordinate record keeping among the many different VA hospitals and clinics a veteran might use over his or her lifetime. And, crucially, it meant that any improvement to the quality of care the VA could achieve through its investment in information systems would rebound to its own long-term advantage. "
highlight,Best Care Anywhere,Phillip Longman,2017-11-19T23:58:20.000,2017-11-19T23:58:20Z,,"In 2009, 88 percent of VA patients expressed satisfaction with the care they received. The last time Medicare was compared in the same survey, in 2006, it scored in the low seventies. Private health insurance companies consistently score worse.13
"
highlight,Best Care Anywhere,Phillip Longman,2017-11-29T03:47:02.000,2017-11-29T03:47:02Z,,"just because the Food and Drug Administration approves a drug doesn't mean it is a superior therapy, or even a safe one. "
highlight,Best Care Anywhere,Phillip Longman,2017-11-29T04:00:55.000,2017-11-29T04:00:55Z,,"
 Of course, medical errors still do occur in the veterans health-care system, and when they do, they are bound to make headlines. But when you see such a headline and wonder how safe veterans hospitals really are, the key question to ask is compared to what?"
highlight,Best Care Anywhere,Phillip Longman,2017-11-20T00:09:46.000,2017-11-20T00:09:46Z,," In 2006, a study comparing the life expectancy of elderly patients in the care of the veterans health system with elderly patients enrolled in the Medicare Advantage Program showed that the mortality rates were ""significantly higher"" among the latter. The study found that the average male patient had a 40 percent decreased risk of death over the next two years if he was cared for by the VA rather than through the Medicare Advantage program. For women, chances of dying in the next two years were 24 percent less at the VA."
highlight,Best Care Anywhere,Phillip Longman,2017-11-18T16:12:07.000,2017-11-18T16:12:07Z,,"faces. Just the projected increase in the cost of Medicare and Medicaid over the next twenty years is equivalent to doubling the Pentagon's current budget, and there is no end in sight after that. We wouldn't even face a structural deficit, much less have to endure downgrading of the nation's credit rating, were it not for the soaring cost of health care."
highlight,Best Care Anywhere,Phillip Longman,2017-11-19T23:40:49.000,2017-11-19T23:40:49Z,,"Americans spend more per person on health care than any other country, and we have very little to show for it except more medical bills and lots of ineffective, unnecessary, and even harmful treatments. "
highlight,Best Care Anywhere,Phillip Longman,2017-11-19T03:40:45.000,2017-11-19T03:40:45Z,,"Given current trends in wages and health-care spending, by 2054, the average American worker will need to devote 2,970 hours a year to cover the cost of health care. "
