KIND,TITLE,AUTHOR,DATECREATED,DATEMODIFIED,ANNOTATION,TEXT
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-13T02:34:14.000,2018-08-13T02:34:14Z,,"“Why is it so hard for you to believe that your son has a girlfriend?” Lorena asked. She had always found Nick to be the most dashing young man of his generation, and with all that Young money, it was such a pity her good-for-nothing daughter Tiffany never managed to attract him.
"
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-18T13:57:12.000,2018-08-18T13:57:12Z,,"Aiyoooooh, finish everything on your plate, girls! Don’t you know there are children starving in America?"
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-17T02:42:16.000,2018-08-17T02:42:16Z,,"Despite this embarrassment of riches, Eddie felt extremely deprived compared to most of his friends. He didn’t have a house on the Peak. He didn’t have his own plane. He didn’t have a full-time crew for his yacht, which was much too small to host more than ten guests for brunch comfortably. He didn’t have any Rothkos or Pollocks or the other dead American artists one was required to hang on the wall in order to be considered truly rich these days."
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-21T04:34:35.000,2018-08-21T04:34:35Z,,"Why do we Chinese never learn? Every time we get mixed up with the West, everything falls apart."
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-13T02:34:54.000,2018-08-13T02:34:54Z,,"You know how notorious those Taiwanese girls can be. They swoop in unexpectedly, the men fall head over heels, and before you know it they are gone, but not before sucking up every last dollar, just like a tornado"
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-17T02:50:38.000,2018-08-17T02:50:38Z,,"Mark’s not white, he’s Jewish—that’s basically Asian!"
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-13T02:49:37.000,2018-08-13T02:49:37Z,,"There are the Chinese from Mainland China, who made their fortunes in the past decade like all the Russians, but then there are the Overseas Chinese. These are the ones who left China long before the Communists came in, in many cases hundreds of years ago, and spread throughout the rest of Asia, quietly amassing great fortunes over time."
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-20T01:04:04.000,2018-08-20T01:04:04Z,,"Last December, when the company finally broke even and we did our first profit sharing, I got a bonus check for two hundred and thirty-eight thousand. For one minute, one whole minute, I was so happy. It was the most money I had ever made. But then it hit me … I realized that no matter how long I work, no matter how hard I sweat my ass off all day long, I will never make as much money in my whole life as you make in one month alone."
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-20T05:54:36.000,2018-08-20T05:54:36Z,,"I’ve had enough of being around all these crazy rich Asians, all these people whose lives revolve around making money, spending money, flaunting money, comparing money, hiding money, controlling others with money, and ruining their lives over money."
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-14T02:57:13.000,2018-08-14T02:57:13Z,,"Why are you always like this, Mummy? Why do you always behave so provincial? You are filthy rich! Why can’t you be a little less cheap for once and have more a sense of your own self-worth?"
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-13T02:38:44.000,2018-08-13T02:38:44Z,,"You are going to Singapore, and those Chinese Singaporeans are the most uptight of all the Chinese, you know! I don’t want his parents to think I didn’t raise you properly."
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-18T23:07:41.000,2018-08-18T23:07:41Z,,"As Araminta reached the altar where her future husband awaited, with the Bishop of Singapore in front of her and the most important people in Asia behind her, one thought alone crossed her mind: Astrid Leong, that damn bitch, couldn’t even be bothered to wear a new dress to her wedding.
"
highlight,Crazy Rich Asians,Kevin Kwan,2018-08-19T14:56:51.000,2018-08-19T14:56:51Z,,"Stop it, Mum. I’m so fed up with this ridiculous snobbery you and your friends have toward the Mainland Chinese. We are all Chinese. Just because some people actually work for their money doesn’t mean they are beneath you."
